Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
136991,0,0,6,350620.8175,6285182.666,180000,210000,117.902237,7,1,26.7,0.36,0.263,2.235330254,2.291069202,76,0.467940203,1826.05017,1310.87624,21898.7923,1211.17251,1661.07209,5564.72,3451.76,59757.27,4731.68,5421.59,5,1
137001,0,0,6,353748.9802,6288196.575,500000,1804588,249.602371,15,2,57.9,0.36,0.205,1.62740666,2.783598982,51,1.0965265,2722.58351,1632.07604,28283.64998,1600.11826,2750.15447,5992.84,3648.82,63213.16,5034.03,5875.98,2,1
137003,0,0,6,353869.3669,6287772.179,250000,1408499,73.986053,17,3,57.9,0.36,0.205,1.512324806,3.06300676,51,1.0965265,2722.58351,1632.07604,28283.64998,1600.11826,2750.15447,5992.84,3648.82,63213.16,5034.03,5875.98,2,1
137011,0,0,6,353722.8136,6288101.69,230000,694074,77.329941,15,2,57.9,0.36,0.205,1.592532,2.793240431,51,1.0965265,2722.58351,1632.07604,28283.64998,1600.11826,2750.15447,5992.84,3648.82,63213.16,5034.03,5875.98,2,1
137021,0,0,6,353588.0031,6288715.09,150000,889742,79.325806,12,2,37.8,0.36,0.293,1.576280787,2.330621115,59,0.729537682,4031.3534,2522.31819,39481.29559,2704.73018,4130.09538,5890.48,3579.54,62180.16,4917.65,5803.85,2,1
137032,0,0,6,352355.2957,6290485.338,162793,651216,111.125328,12,2,47,0.36,0.375,0.640963949,0.270776239,70,0.58586763,4355.84333,2557.03092,39465.06209,2969.35095,4545.74428,6568.08,3950.22,68405.56,5507.69,6534.44,5,1
137041,0,0,6,351574.9886,6287175.41,180000,748930,83.76796,12,2,45.5,0.36,0.262,1.00150184,1.341519993,68,0.654493342,2843.25088,1832.19531,31818.42382,1568.82854,2829.39221,6146.96,3743.58,64619.84,5250.59,6045.88,2,1
137051,0,0,6,352216.9582,6284501.972,120000,204818,71.754974,12,2,47.9,0.36,0.262,0.782610803,2.33052643,66,0.475666738,2516.08531,1609.37375,27876.56804,1429.55837,2445.38295,5315.83,3318.12,57637.37,4485.97,5137.01,5,1
137061,0,0,6,354762.9504,6286042.731,160000,988568,73.22673,14,2,44.9,0.36,0.334,2.02373435,4.664093729,61,0.626168222,1718.08416,1155.89788,19643.42894,958.09903,1502.78283,5186.25,3218.85,55970.17,4333.11,5014.82,5,1
137071,0,0,6,354694.6042,6286147.287,150901,232737,90.640846,7,1,44.9,0.36,0.334,1.982144171,4.552371056,61,0.626168222,1718.08416,1155.89788,19643.42894,958.09903,1502.78283,5186.25,3218.85,55970.17,4333.11,5014.82,5,1
